ParcelId,Address,City,State,ZIP,County,MSA,Submarket,YearBuilt,YearRenovated,AssetClass,Stories,ConstructionType,PropertyType,UnitCount,AvgUnitSqft,NetRentableSqft,ParkingType,ParkingRatio,LotSizeAcres,ManagementCompany,Notes,DataConfidence,SourceFiles
Broadstone Lemmond Farm,,Charlotte,NC,,,"Charlotte-Concord-Gastonia, NC-SC",,2022,,,,,,,,,,,,Fee Insuran,,medium,Broadstone Lemmond Farm.xlsx; Broadstone Lemmond Farm_Underwriting Memo.pdf; Broadstone Tax Math .xls; RentRoll10_23_2020.xlsx; RentRollwithLeaseCharges03_15_2021.xlsx
Broadstone Station,,Charlotte,NC,,,"Charlotte-Concord-Gastonia, NC-SC",,,,,,,,,128,128,GARAGE,,,,,medium,20240212123401_IncomeAPINVExport.xls; Copy of Village at Broadstone Station - Buyer Interview Template 02.2024.xlsx; Property Record Card (Current Assessed Value)_2024_Village at Broadstone Station.pdf; Rent Roll_2024.01.16_Village at Broadstone Station - TS.xls; Rent Roll_2024.01.16_Village at Broadstone Station.xls
Broadstone Sugar Hill,,Sugar Hill,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,2004,,,,,,2021,,,,,,,,medium,Broadstone Junction Other Income .xlsx; Broadstone Sugar Hill - Lease Agreement (Cantina Loca) (Executed).pdf; Broadstone Sugar Hill - Lease Agreement (City of Sugar Hill) (Executed).pdf; Broadstone Sugar Hill - Rent Roll (2021.02.22) - techno.xls; Broadstone Sugar Hill - Rent Roll (2021.02.22).xlsx
Broadstone Trailside,,Charlotte,NC,,,"Charlotte-Concord-Gastonia, NC-SC",,2015,,,,,,,,,Garage,,,,,medium,(TEST)_Alliance_-_Box_Score_Report_v1 (4) (1).pdf; 12_Month_Statement_020940_Accrual.xlsx; Alliance Residential Company PT NC Broadstone Trailside Tax Projection 2.._.pdf; Alliance_-_Demographic_Summary (4).pdf; Alliance_-_MOR_-_Rent_Change_Analysis_(Mod) (2) (1).pdf
Build to Rent,,,,,,,,,,,,,,,,,,,,,,none,2022 Renewal.pdf; Berkadia - Odyssey by Soltura - Flyer.pdf; Loan Document.pdf
Cadence Music Factory,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,697,697,Garage,,,Fee Subtot,,medium,12mo IS[1].xlsx; Cadence Comps .pdf; Cadence Music Factory Overview.pdf; Cadence Projections .xls; Copy of Cadence Music Factory Tax Worksheet (003).xls
Cadence Sugar Hill,,Sugar Hill,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,732,732,,,,Fee Insuran,,medium,Cadence - DAR (2022.01.22).xlsx; Cadence - Detailed Rent Roll (2021.11.08).pdf; Cadence - Detailed Rent Roll (2022.02.01) Techno.xls; Cadence - Detailed Rent Roll (2022.02.01).xls; Cadence - Fee List (2021.08.17).xlsx
Cadence at Nocatee,,Nocatee,FL,,,"Jacksonville, FL",,2020,,,,,,,,,,,,,,medium,Cadence at Nocatee Box Score 5.21.22.xlsx; Cadence at Nocatee Concessions - 5.19.22.xlsx; Cadence at Nocatee Demographics - 5.19.22.xlsx; Cadence at Nocatee Pending Move-Ins (Detailed) 5.23.22.xlsx; Cadence at Nocatee Pending Move-Ins (Single-Line) 5.23.22.xlsx
Carrington at Brier Creek,,Raleigh,NC,,,"Raleigh-Durham-Chapel Hill, NC",,1999,,,,Mixed,,2019,,,Mixed,,,Fee Gro,,medium,Carrington Brier Creek Rents .xls; CarringtonBrierCreek OM.PDF; Historical_20190806150638 - Carrington .xls; Rent Roll_2019.06.19_Carrington at Brier Creek.xlsx; Rent Roll_2019.07.10_Carrington at Brier Creek - techno.xls
Casa Mara,,Miami,FL,,,"Miami-Fort Lauderdale-West Palm Beach, FL",,,,,,,,,,,,,,,,medium,Projected Stabilized CasaMara Updated 6.7.22.xlsx; RentRollwithLeaseCharges 06.16.2022.xlsx; Retail - RentRollwithLeaseCharges06_08_2022 (1).xlsx
CasaMara,,West Palm Beach,FL,,,"Miami-Fort Lauderdale-West Palm Beach, FL",,,,,,,,,,,,,,,,medium,0411 CM lease tracker (1).xlsx; 0411 CM lease tracker - Techno.xls; 075-1786-SP-1 (3) w.Outdoor seating Minor Mod.pdf; 2022 stabilized CasaMara.xlsx; Cameron Estates Tax Bill.pdf
Chapel Hill,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,486,486,Garage,,,Expen,,medium,1. Chapel Hill T12 January 2018 -t echno.xls; 1. Chapel Hill T12 January 2018.xls; Copy of CH Rent Roll - 3.1.2018 - techno.xls; Copy of CH RR 3.1.2018.xls
Charlotte Pike,,Nashville,TN,,,"Nashville-Davidson-Murfreesboro-Franklin, TN",,,,,,,,,,,Garage,,,Fee Insuran,,medium,02.23.2022_SterlingNW_RentRollwithLeaseCharges.xlsx; 210927 Charlotte Pike Proforma_Final_Expenses.pdf; Charlotte Pike Other Income.xlsx; Novel West Nashville.JPG; Property_Tax_Bill (2).pdf
Charlotte Two Pack,,Charlotte,NC,,,"Charlotte-Concord-Gastonia, NC-SC",,,,,,,,,,,,,,,,medium,Atkins Circle - Rent Roll (2020.08.19).xlsx; Atkins Circle - T12 (2020.07).xlsx; Worthington Luxury - Rent Roll (2020.08.19).xlsx; Worthington Luxury - Retail Rent Roll (2020.08.20).xlsx; Worthington Luxury - T12 Combined (2020.07).xlsx
Citadel Lookout,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,2022,,,,,,,093,093,GARAGE,,,,,medium,Boxscore 1.24.22.pdf; Boxscore 1.30.22.pdf; Citadel at Lookout Market Survey 1.30.22.xlsx; Citadel Lookout Other Income.xlsx; Citadel Lookout Stabilized Budget.xlsx
Citizen House,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,Mixed,,,,,Mixed,,4.41,,,medium,CHP - Rent Roll - 3.11.24.xlsx; CHP - Rentable Items Report - 3.11.24.xlsx; CHP - Unit Amenities - 3.11.24.xlsx; Citizen House  Other income.xlsx; Citizen House Pflugerville - Flyer.pdf
Citron Allen,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,Concrete,,445,819,819,Garage,,,Fe,,medium,Citron Allen Station Rent Roll.xls; Citron Allen Station Storages.xls; Citron Allen Station T-12.xls
City North - TX,,,,,,,,,,,,,,,,,,,,,,none,
Coddle Creek,,Charlotte,NC,,,"Charlotte-Concord-Gastonia, NC-SC",,,,,,,,,,,,,,,,medium,Coddle Creek Other Income.xlsx; Coddle Creek Tax Math .xls
Colums at Wakefield,,,,,,,,,,,,,,,,,,,,,,none,
Cornerstone,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,1983,,,,,,,211,9211,,,,,,medium,2017 Tax Bill-2018.07_Cornerstone.pdf; Cornerstone - Rent Roll 06.30.2018.xlsx; Cornerstone - Rent Roll 07.24.2018.xlsx; Cornerstone - Rent Roll 07.30.2018.xlsx; Cornerstone - Rent Roll w Lease Charges 06.20.2018.xlsx
Cottages at emerald Creek,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,102,102,GARAGE,,,Fe,,medium,42 NEY EMC Rent Roll Detail 4.25.19.xls; 42 NEY EMC T12 March 2019.xls; Copy of 42 NEY EMC Rent Roll 5.31.19.xls; Copy of 42 NEY EMC T12 May 2019.xls; Copy of 42 NEY EMC Technosun Translated Rent Roll Please Review and Verify.xls
Courtney Lake,,,,,,,,,,,,,,,,,Garage,,,,,none,Copy of The Courtney at Lke Shadow V2.xls; Rent Roll.xls
Creekside Ranch,,,,,,,,,,,,,,2019,,,Garage,,,FE,,low,Creekside Ranch - Rent Roll 07.29.2019 - techno.xls; Creekside Ranch - Rent Roll 07.29.2019.xlsx; Creekside Ranch - T12 07.29.19 - techno.xls; Creekside Ranch - T12 07.29.19.xlsx; Creekside Ranch Costar.pdf
Crescent,,,,,,,,,,,,Mixed,,,436,436,Mixed,,,,,none,Crescent OM 2018.pdf
Crest at Flower Branch,,,,,,,,,,,,,,,,,,,,,,none,12_Month_Statement_mgcfb_accrual.xlsx; AccountDetail06_02_2021 (1).xlsx; AccountDetail06_02_2021 (2).xlsx; AccountDetail06_02_2021 (3).xlsx; AccountDetail06_02_2021.xlsx
Crestmont at Thornblade,,,,,,,,,,,,,,,,,,,,,,none,
Crown at James Landing,,,,,,,,,,,,,,,,,Garage,,,Fee Insuran,,none,20191114113849_APINVExport - Crown at James Landing Premiums .xls; Historical_20191114115458 - Crown at james P&L.xls
Curv,,,,,,,,,,,,,,,,,,,,,,none,CURV - Offering Memorandum (1).pdf
Debartolo Portfolio,,,,CS,,,,,,,1,Slab,,,,,,,,,,low,Debartolo Portfolio OM.pdf
District South,,,,,,,,,,,,,,,,,,,,,,none,
District Station,,,,,,,,,,,,,,,913,913,,,,,,none,Copy of Rent Roll_2019.04.08_District Station.xls; District Station Market Intel.pdf; DistrictStation_OM (1).pdf; Rent Roll_2019.02.19_District Station.xls; T12_2018_District Station.xlsx
East Point at Altamonte,,,,,,,,,,,,,Garden,,,,,,,,,low,East Pointe at Altamonte (Orlando MSA) OM - 2019 (FINAL).pdf; East Pointe at Altamonte RR 5-31-19.xlsx; East Pointe at Altamonte T12 Apr-2019.xlsx; Rent Roll East Pointe 6.19.xlsx
Easton Portfolio,,,,,,,,,,,,,,,,,,,,,,none,COCOct2018 T12 .xlsx; COCRent Roll-11-13-18.xlsx
Echo  Lakeside,,,,,,,,,,,,,,,,,,,,,,none,ECHO_Lakeside_OM.pdf; ECONOMICDEVELOPMENTPLANFIN - Peachtree Corners.pdf
Eden Crystal Lake,,,,FL,,,,,,,,,,,,,,,,,,none,"20220105121148_APDEVExport.xls; Copy of 20220105121148_APDEVExport.xls; Copy of Eden Crystal Lake (Port Orange, FL) Expense Comp 1-12-22.pdf; Crystal Lake Rent Roll Techno .xls; Eden Crystal Lake (Port Orange, FL) Market Survey 1-12-22.xlsx"
Edinborough Commons,,,,,,,,,,,,Concrete,,,784,784,Garage,,,Fe,,none,Edinborough Commons RR 02.26.18.xls; Edinborough Commons RR 1.31.18.xls; Edinborough Commons_TTM January 2018 - techno 2.xls; Edinborough Commons_TTM January 2018 - techno.xls; Edinborough Commons_TTM November 2017.xlsx
Elan Powers Ferry,,,,,,,,,,,042621,,,,,,,,,,,low,Elan Powers Ferry - Detailed Site Plan (2022.02.08).pdf; Elan Powers Ferry - Last 30 Applications (2022.02.18).xlsx; Elan Powers Ferry - Rent Roll (2022.02.18)_One Line.xlsx; Elan Powers Ferry - Rentable Items Availability (2022.02.08).xlsx; Elan Powers Ferry - T4 Income Statement (2022.01).xlsx
Element Galleria,,,,,,,,,,,,,,,,,,,,,,none,ElementGalleria_OM.pdf
Elevate Powell and Broad,,,,,,,,,,,,Mixed,,,,,Mixed,,,Fee Insuran,,none,Capstone_Offering_Memorandum_Elevate_Powell__Broad.pdf; Elevate Powell & Broad  Other Income.xlsx; Elevate Powell & Broad Tax Math .xls; Elevate_Powell__Broad_Rent_Roll_1.24.2022.xlsx; Elevate_Powell__Broad_T12_12.31.2021.xlsx
Emblem Greyson,,,,,,,,,,,,,,,,,,,,,,none,20220617141835_IncomeAPINVExport.xls; Assessment_Notice_2022_R5126_142.pdf; Other income Emblem Greyson.xlsx
Enclave at Rivergate,,,,,,,,,,,,,,,,,Garage,,,Fe,,none,T12 - Techno.xls; T12.xls
Enclave on East,,,,,,,,,,,,,,,,,,,,,,none,2018 RE Tax Bill - Enclave on East (Pinellas County).pdf; CBRE Enclave on East Apartments (Tampa Bay MSA) OM 2019 FINAL-email.pdf; CBRE Enclave on East Apartments (Tampa Bay MSA) OM 2019 FINAL.pdf; Enclave on East 12-Month thru 05-2019.xlsx; RR 5 30 19.xlsx
Encore,,,,,,,,,,,,,,,404,404,,,,,,none,Concessions+2020+09+22.xlsx; Encore - RR & Delinquent - 7.27.20.xlsx; Encore - T12 - June 2020.xlsx; Rent+Roll+Detail+2020+09+22.xls; T12_Encore_2020_08.xlsx
Estates at Crossroads,,,,,,,,,,,,,,,,,,,,,,none,
Eve at the District,,,,,,,,,,,,,,,,,,,,,,none,
Exchange Orange Park,,,,,,,,,,,,,,,054,054,GARAGE,,,GRO,,none,Copy of EOP_Rent+Roll+Detail_11.20.23 - modify.xlsx; Copy of EOP_Rent+Roll+Detail_11.20.23.xlsx; Copy of EOP_Rent+Roll+Detail_8.29.23.xlsx; EOP_Rent+Roll+Detail_1.10.23.xls; EOP_Rent+Roll+Detail_1.10.23.xlsx
Exchange at Indian Trail,,,,,,,,,,,,,,,,,Garage,,,Fee Insuran,,none,Exchange Indian Trail.xls; Hathaway Projects 022422v2 (003).pdf; Rent comps.xls
Factory at Garco,,,,,,,,,,,,,,,,,Garage,,,Fe,,none,2017 Property Taxes_Factory.pdf; Rent Roll_06.18.18_Factory - techno.xls; Rent Roll_06.18.18_Factory - translated.xls; Rent Roll_06.18.18_Factory.xlsx; T12_2018.05_Factory - techno.xls
Ferry Pike,,,,,,,,,,,,,,,,,,,,,,none,
Ferry Pike - Nashville,,,,,,,,,,,,,,,,,,,,,,none,02. Rent Roll.xlsx; 2025_02_03_The_Percy_Market.pdf; 600 Stewarts Ferry Pike 2022-Myers Apartment Group.zip; 600 Stewarts Ferry Pre-Stab BOV_Feb 2023 Closing.pdf; Availability.pdf
FieldHouse,,,,GA,,,,,,,,,Garden,,,,,,,,,low,"11.29.21 DemographicSummary.pdf; 11.4.21 FHA_RentableItemsDirectory.pdf; 11.4.21 FHA_UnitAmenities.pdf; 11.4.21 FHA_Xfinity_Fieldhouse Tech Flyer FINAL.pdf; Brand Partners, LP - Groundlease with GCVB 2009-04-29 (exhibit D).pdf"
Florida Crystals Deal,,,,,,,,,,,,,,,,,,,,,,none,
Folksong at Flowery Branch,,,,,,,,,,,,,,,,,,,,,,none,Folksong at Flowery Branch - Rent Roll.xls; Folksong Other income v2.xlsx; Folksong Other Income.xlsx
Franklin Jones,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,,,,,,medium,Commerical Rent Roll_2023.04.19_Vingate Jones Franklin.xlsx; Rent Roll_2023.04.19_Vintage Jones Franklin.xlsx; Rent Roll_2023.05.08_Vintage Jones Franklin.xlsx; Rent Roll_2023.05.15_Vintage Jones Franklin.xlsx; Rentable Items_2023.04.19_Vintage Jones Franklin.xlsx
Gateway at Hartfield,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,8160,,,,,2019,,,Garage,,2019,FE,,medium,Historical_20191114162345 - Gateway at Hartsfield .xls; OS_T12_10-2019_GatewayHartsfield - techno.xls; OS_T12_10-2019_GatewayHartsfield.xlsx; RR_11.11.2019_Gateway Hartsfield - techno.xls; RR_11.11.2019_Gateway Hartsfield.xlsx
Harbor at Westshore,,Tampa,FL,,,"Tampa-St. Petersburg-Clearwater, FL",,2002,,,,,,2021,,,garage,,,,,medium,02.14.2021 Harbour at Westshore Rentable Items Summary.pdf; 02.21.2021 Box Score.pdf; 02.21.2021 Demographics Report.xlsx; 02.21.2021 Rent Roll with Lease Charges.xlsx; 02.21.21 Harbour at Westshore WUTA.xlsx
Hardy Oak,,San Antonio,TX,,,"San Antonio-New Braunfels, TX",,,,,,,,,,,,,,,,medium,Hardy Oak.xlsx
Hawthorne at Clairmont,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,Mixed,,,,,Mixed,,,Fee Gro,,medium,20200130132208_APINVExport - Reno Comps .xls; 20200206095801_APINVExport - 3% increase .xls; 20200206100205_APINVExport - Reno Comps Final .xls; Historical_20200131135815 - Hawthorne at Clairmont .xls
Heights at Sugarloaf,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,,,,,,medium,Heights at Sugarloaf Expense Comp 9-17-20.pdf
Heron Pointe,,Atlanta,GA,FL,,"Atlanta-Sandy Springs-Roswell, GA",,2000,,,,,,2018,425,425,,,,Fee Payro,,medium,2018_1Q_West Palm Beach_Performance Summary.pdf; 5yrs Forecast .xls; Florida-2 Portfolio OM - Final.pdf; Heron Pointe - T-12 March 2018- techno.xls; Heron Pointe - T-12 March 2018.xlsx
Highlands at Preston,,Dallas,TX,,,"Dallas-Fort Worth-Arlington, TX",,2001,,,6350,,,6361,,,Covered,,,Fe,,high,HOP - Combined financials techno.xls
Highlnad Ridge Apartments,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,,,,,,medium,Highland Ridge Other Income Real.xlsx
Hoover Two Pack,,Hoover,AL,,,"Birmingham-Hoover, AL",,,,,,Concrete,,,,,Garage,,,Fe,,medium,Historical_20191022133149 - The Park at Deerfield .xls
Hudson Commons,,,,,,,,,,,,,,,,,,,,,,none,
Hudson Northridge,,,,,,,,,,,,,,,,,,,,,,none,
Hunter Pointe,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,216,906,906,,,16.12,Fee Capit,,medium,7.5.22 Rent+Roll+Detail+-+Excel (8).xls; Copy of 7.5.22 Rent+Roll+Detail+-+Excel (8) - TS.xls; Copy of RR - Trails at Hunter Pointe 5.24.22.xls; Copy of Trails - Rent Roll (2023.08.15) - modified .xls; Copy of Trails - Rent Roll (2023.08.15).xls
Indigo Run,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,,,,,,medium,Lively Indigo Run - Box Score (2019.07.01).pdf; Lively Indigo Run - Rent Roll (2019.07.23).pdf; Lively Indigo Run - Rent Roll (2019.07.23).xlsx; Lively Indigo Run - Resident Demographics (2019.06.13).xlsx; Lively Indigo Run - T12 (2019.06).pdf
Infield Orlando,,Orlando,FL,,,"Orlando-Kissimmee-Sanford, FL",,,,,,,,,,,,,,,,medium,Infield - PL (002).pdf; Infield Other income.xlsx; Infield Plan.pdf; Infield Rent Roll.xls
Jade at Hyde Park,,Tampa,FL,,,"Tampa-St. Petersburg-Clearwater, FL",,,,,,,,,,,,,,,,medium,06.30.22 Rent Roll w Lease Charges- Jade.xlsx; Jade Hyde Park Other Income.xlsx; RentRollwithLeaseCharges03_07_2022 (Updated Unit Types).xlsx
Jade hyde Park,,Tampa,FL,,,"Tampa-St. Petersburg-Clearwater, FL",,,,,,,,,,,,,,,,medium,06.30.22 Rent Roll w Lease Charges- Jade.xlsx; Berkadia - Jade at North Hyde Park - Offering Memorandum.pdf; Jade at NHP RentRollwithLeaseCharges 04.04.22.xlsx
Jefferson Apartment Building,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,,,,,,medium,Rent Roll Analysis .xls
Jones Grant,,Charlotte,NC,,,"Charlotte-Concord-Gastonia, NC-SC",,,,,,,,,173,173,,,,Fe,,medium,4 The AVR Portfolio - North Carolina.pdf; Axio Report - Raleigh (Q4-17).pdf; Axio Submarket Boundaries - Raleigh.pdf; Copy of Jones Grant Rent Roll 3.8.18 techo.xls; Jones Grant - Rent Roll (2018.01.25) - techno .xls
Junction at Antiquity,,Atlanta,GA,NC,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,670,670,,,7.66,Fee Payro,,medium,2011SOV - Schedule of Values Mecklenburg.pdf; Cash Flows.xls; Junction at Antiquity LOI.pdf; Summary Dashboard.xls
Kennesaw Deals,,Kennesaw,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,SLAB,Garden,,,,,,,,,medium,East Park Village - Rent roll.xls; East Park Village Garden- Rent roll.xls; East Park Village Midrise - Rent roll.xls; Eastpark Village - Regressions (2022.04.01).pdf; EPV - Garden Constructtion Schedule (2021.08.030.pdf
Kia Ora,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,407,,,Covered,,,Materia,,medium,Historical_20190603123520.xls; Kia Ora Costar.pdf; KIA RR 4.29.19 With Analytics.xls; KIA RR 4.29.19.xls; KIA T-12 Mar 2019.xls
Knox at Metrocenter,,,,,,,,,,,,,,,,,,,,,,none,
Lake Ridge,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,9999,,,,,,FE,,medium,Copy of Lake Ridge - Rent Roll (2019.07.18) (002) - techno.xls; Copy of Lake Ridge - T12 (2019.06).xlsx (002) - techno.xls; Historical_20190731111524 - lake ridge .xls; Lake Ridge - Rent Roll (2019.07.18).xls; Lake Ridge - T12 (2019.06).xlsx.xls
Legacy Crossroads,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,Garage,,,Fee Manageme,,medium,Copy of Legacy Crossroads Reno Est.xlsx; Historical Comparison .xls; Historical_20190321090512.xls; Historical_20190321101209 v2.xls; Legacy Crossroads HIstorical v3.xls
Leo Loso,,Dallas,TX,,,"Dallas-Fort Worth-Arlington, TX",,2021,,,,,,,172,172,,,,,,medium,Leo LoSo Flyer.pdf; Leo LoSo OM.pdf; Leo Loso Rent Roll.xls; Leo LoSo RR 2-12-24.xlsx; Rendering Video.mp4
